service_date,route_short,gated_entries
2020-02-14,Red,181107.81
2020-02-15,Blue,25113.4
2020-02-15,Green,43634.16
2020-02-15,Orange,7392.35
2020-02-15,Red,70544.49
2020-02-16,Blue,20979.8
2020-02-16,Green,34935.56
2020-02-16,Orange,4938.56
2020-02-16,Red,62252.78
2020-02-17,Blue,29694.9
2020-02-17,Green,45472.16
2020-02-17,Orange,70025.74
2020-02-17,Red,92184.6
2020-02-18,Blue,44663.7
2020-02-18,Green,71268.86
2020-02-18,Orange,146257.33
2020-02-18,Red,180375.71
2020-02-19,Blue,45954.0
2020-02-19,Green,77226.83
2020-02-19,Orange,151919.35
2020-02-19,Red,187053.02
2020-02-20,Blue,47086.4
2020-02-20,Green,76469.15
2020-02-20,Orange,149041.77
2020-02-20,Red,186368.98
2020-02-21,Blue,45218.1
2020-02-21,Green,76125.56
2020-02-21,Orange,137924.01
2020-02-21,Red,172737.53
2020-02-22,Blue,27297.7
2020-02-22,Green,50156.49
2020-02-22,Orange,66392.72
2020-02-22,Red,69127.49
2020-02-23,Blue,21847.2
2020-02-23,Green,35360.86
2020-02-23,Orange,48323.84
2020-02-23,Red,53417.2
2020-02-24,Blue,48061.6
2020-02-24,Green,71047.14
2020-02-24,Orange,150543.29
2020-02-24,Red,186396.37
2020-02-25,Blue,47441.7
2020-02-25,Green,74392.25
2020-02-25,Orange,160273.75
2020-02-25,Red,192422.3
2020-02-26,Blue,48988.4
2020-02-26,Green,74461.79
2020-02-26,Orange,156930.17
2020-02-26,Red,194274.54
2020-02-27,Blue,47038.6
2020-02-27,Green,77090.43
2020-02-27,Orange,160408.44
2020-02-27,Red,194940.13
2020-02-28,Blue,47540.8
2020-02-28,Green,78042.59
2020-02-28,Orange,150587.62
2020-02-28,Red,189501.19
2020-02-29,Blue,28228.9
2020-02-29,Green,44799.32
2020-02-29,Orange,76816.03
2020-02-29,Red,81076.75
2020-03-01,Blue,20969.0
2020-03-01,Green,27374.77
2020-03-01,Orange,49128.06
2020-03-01,Red,54148.57
2020-03-02,Blue,47652.7
2020-03-02,Green,68074.99
2020-03-02,Orange,143495.59
2020-03-02,Red,181679.42
2020-03-03,Blue,49379.1
2020-03-03,Green,71976.74
2020-03-03,Orange,155502.46
2020-03-03,Red,193433.7
2020-03-04,Blue,48465.5
2020-03-04,Green,70295.04
2020-03-04,Orange,151802.72
2020-03-04,Red,192226.44
2020-03-05,Blue,49576.6
2020-03-05,Green,71044.15
2020-03-05,Orange,151622.95
2020-03-05,Red,193034.4
2020-03-06,Blue,48042.7
2020-03-06,Green,70732.6
2020-03-06,Orange,143718.67
2020-03-06,Red,175170.13
2020-03-07,Blue,27295.3
2020-03-07,Green,40218.24
2020-03-07,Orange,63988.32
2020-03-07,Red,63560.14
2020-03-08,Blue,21303.3
2020-03-08,Green,29518.79
2020-03-08,Orange,47893.61
2020-03-08,Red,47828.4
2020-03-09,Blue,47361.7
2020-03-09,Green,62371.2
2020-03-09,Orange,141475.69
2020-03-09,Red,169050.01
2020-03-10,Blue,46784.1
2020-03-10,Green,61850.08
2020-03-10,Orange,139829.21
2020-03-10,Red,167843.81
2020-03-11,Blue,45263.5
2020-03-11,Green,59955.75
2020-03-11,Orange,122667.96
2020-03-11,Red,154062.19
2020-03-12,Blue,41172.9
2020-03-12,Green,46926.34
2020-03-12,Orange,108204.61
2020-03-12,Red,125638.85
2020-03-13,Blue,35417.4
2020-03-13,Green,36921.68
2020-03-13,Orange,83939.99
2020-03-13,Red,93691.03
2020-03-14,Blue,20680.8
2020-03-14,Green,20977.83
2020-03-14,Orange,38111.81
2020-03-14,Red,40533.16
2020-03-15,Blue,14728.6
2020-03-15,Green,13570.25
2020-03-15,Orange,25525.23
2020-03-15,Red,27119.22
2020-03-16,Blue,24515.9
2020-03-16,Green,20300.48
2020-03-16,Orange,54475.23
2020-03-16,Red,56770.69
2020-03-17,Blue,17502.9
2020-03-17,Green,13320.21
2020-03-17,Orange,36578.29
2020-03-17,Red,38869.7
2020-03-18,Blue,16779.4
2020-03-18,Green,12225.06
2020-03-18,Orange,34501.06
2020-03-18,Red,35674.78
2020-03-19,Blue,13770.1
2020-03-19,Green,10327.88
2020-03-19,Orange,28705.68
2020-03-19,Red,30698.34
2020-03-20,Blue,15458.2
2020-03-20,Green,10785.33
2020-03-20,Orange,29218.85
2020-03-20,Red,31376.72
2020-03-21,Blue,8153.3
2020-03-21,Green,5990.71
2020-03-21,Orange,15104.12
2020-03-21,Red,15450.77
2020-03-22,Blue,5607.1
2020-03-22,Green,4076.66
2020-03-22,Orange,10739.14
2020-03-22,Red,11063.2
2020-03-23,Blue,10543.9
2020-03-23,Green,7445.0
2020-03-23,Orange,22028.66
2020-03-23,Red,23511.84
2020-03-24,Blue,9353.2
2020-03-24,Green,6510.97
2020-03-24,Orange,18768.86
2020-03-24,Red,19861.47
2020-03-25,Blue,8351.1
2020-03-25,Green,5614.61
2020-03-25,Orange,17372.35
2020-03-25,Red,19060.24
2020-03-26,Blue,8488.7
2020-03-26,Green,5625.44
2020-03-26,Orange,17316.09
2020-03-26,Red,18870.57
2020-03-27,Blue,8605.8
2020-03-27,Green,5954.56
2020-03-27,Orange,17674.03
2020-03-27,Red,19411.51
2020-03-28,Blue,5351.2
2020-03-28,Green,3709.46
2020-03-28,Orange,10474.78
2020-03-28,Red,11694.16
2020-03-29,Blue,3484.5
2020-03-29,Green,2656.96
2020-03-29,Orange,7068.75
2020-03-29,Red,8242.29
2020-03-30,Blue,7308.8
2020-03-30,Green,5317.78
2020-03-30,Orange,15866.97
2020-03-30,Red,17599.65
2020-03-31,Blue,7697.5
2020-03-31,Green,5169.68
2020-03-31,Orange,15938.95
2020-03-31,Red,17664.87
2020-04-01,Blue,7134.9
2020-04-01,Green,4827.39
2020-04-01,Orange,14967.55
2020-04-01,Red,16829.36
2020-04-02,Blue,6666.6
2020-04-02,Green,4670.64
2020-04-02,Orange,14026.14
2020-04-02,Red,15971.42
2020-04-03,Blue,6399.2
2020-04-03,Green,4499.07
2020-04-03,Orange,13678.12
2020-04-03,Red,15119.91
2020-04-04,Blue,4374.7
2020-04-04,Green,3165.2
2020-04-04,Orange,8958.7
2020-04-04,Red,9953.3
2020-04-05,Blue,3376.2
2020-04-05,Green,2403.48
2020-04-05,Orange,6627.17
2020-04-05,Red,7843.15
2020-04-06,Blue,6196.3
2020-04-06,Green,4483.26
2020-04-06,Orange,13970.14
2020-04-06,Red,15569.4
2020-04-07,Blue,6142.7
2020-04-07,Green,4308.43
2020-04-07,Orange,13414.54
2020-04-07,Red,15403.13
2020-04-08,Blue,5886.7
2020-04-08,Green,4225.34
2020-04-08,Orange,12961.68
2020-04-08,Red,14693.48
2020-04-09,Blue,5612.1
2020-04-09,Green,4105.27
2020-04-09,Orange,12114.35
2020-04-09,Red,13859.78
2020-04-10,Blue,6104.1
2020-04-10,Green,4501.54
2020-04-10,Orange,12892.15
2020-04-10,Red,14090.01
2020-04-11,Blue,4248.7
2020-04-11,Green,2887.8
2020-04-11,Orange,8233.18
2020-04-11,Red,8989.22
2020-04-12,Blue,2893.1
2020-04-12,Green,2105.26
2020-04-12,Orange,6124.94
2020-04-12,Red,6915.0
2020-04-13,Blue,5020.5
2020-04-13,Green,3573.74
2020-04-13,Orange,10958.05
2020-04-13,Red,12333.91
2020-04-14,Blue,6012.7
2020-04-14,Green,4126.47
2020-04-14,Orange,12900.93
2020-04-14,Red,14409.4
2020-04-15,Blue,6027.2
2020-04-15,Green,4078.14
2020-04-15,Orange,12793.01
2020-04-15,Red,14137.05
2020-04-16,Blue,6056.3
2020-04-16,Green,4130.37
2020-04-16,Orange,12152.43
2020-04-16,Red,14250.7
2020-04-17,Blue,6460.1
2020-04-17,Green,4412.16
2020-04-17,Orange,12901.4
2020-04-17,Red,14848.94
2020-04-18,Blue,3579.9
2020-04-18,Green,2564.84
2020-04-18,Orange,7057.76
2020-04-18,Red,8273.3
2020-04-19,Blue,3463.3
2020-04-19,Green,2445.29
2020-04-19,Orange,6622.64
2020-04-19,Red,7509.77
2020-04-20,Blue,5577.0
2020-04-20,Green,3657.09
2020-04-20,Orange,11266.16
2020-04-20,Red,12682.65
2020-04-21,Blue,6027.0
2020-04-21,Green,4016.25
2020-04-21,Orange,12334.52
2020-04-21,Red,13953.03
2020-04-22,Blue,6009.8
2020-04-22,Green,4151.65
2020-04-22,Orange,12773.93
2020-04-22,Red,14155.22
2020-04-23,Blue,6435.4
2020-04-23,Green,4200.73
2020-04-23,Orange,12728.25
2020-04-23,Red,14715.22
2020-04-24,Blue,6082.3
2020-04-24,Green,4131.21
2020-04-24,Orange,12102.14
2020-04-24,Red,13905.15
2020-04-25,Blue,4633.2
2020-04-25,Green,3211.4
2020-04-25,Orange,8862.21
2020-04-25,Red,10022.09
2020-04-26,Blue,3118.4
2020-04-26,Green,2129.55
2020-04-26,Orange,6166.65
2020-04-26,Red,7060.5
2020-04-27,Blue,5305.8
2020-04-27,Green,3850.45
2020-04-27,Orange,11662.52
2020-04-27,Red,13142.83
2020-04-28,Blue,6568.0
2020-04-28,Green,4322.3
2020-04-28,Orange,13219.03
2020-04-28,Red,14590.37
2020-04-29,Blue,6660.7
2020-04-29,Green,4367.04
2020-04-29,Orange,13210.49
2020-04-29,Red,14986.47
