service_date,route_short,station_name,gated_entries
2020-01-02,Red,Porter,6796.0
2020-01-02,Red,Quincy Adams,3460.0
2020-01-02,Red,Quincy Center,6538.0
2020-01-02,Red,Savin Hill,1800.0
2020-01-02,Red,Shawmut,1582.0
2020-01-02,Red,South Station,15333.5
2020-01-02,Red,Wollaston,3169.0
2020-01-03,Blue,Airport,6960.0
2020-01-03,Blue,Aquarium,4473.0
2020-01-03,Blue,Beachmont,2963.0
2020-01-03,Blue,Bowdoin,2095.0
2020-01-03,Blue,Government Center,577.4
2020-01-03,Blue,Maverick,10436.0
2020-01-03,Blue,Orient Heights,4057.0
2020-01-03,Blue,Revere Beach,2901.0
2020-01-03,Blue,State Street,1208.7
2020-01-03,Blue,Suffolk Downs,708.0
2020-01-03,Blue,Wonderland,6187.0
2020-01-03,Blue,Wood Island,1890.0
2020-01-03,Green,Arlington,5401.0
2020-01-03,Green,Boylston,4064.0
2020-01-03,Green,Copley,10135.0
2020-01-03,Green,Government Center,5196.6
2020-01-03,Green,Haymarket,4888.73
2020-01-03,Green,Hynes Convention Center,5245.0
2020-01-03,Green,Kenmore,4717.0
2020-01-03,Green,Lechmere,4804.0
2020-01-03,Green,North Station,5537.24
2020-01-03,Green,Park Street,7842.18
2020-01-03,Green,Prudential,2803.0
2020-01-03,Green,Riverside,1242.0
2020-01-03,Green,Science Park,807.0
2020-01-03,Green,Symphony,1251.0
2020-01-03,Orange,Assembly,3513.0
2020-01-03,Orange,Back Bay,12944.0
2020-01-03,Orange,Chinatown,5016.0
2020-01-03,Orange,Community College,2165.0
2020-01-03,Orange,Downtown Crossing,10636.43
2020-01-03,Orange,Forest Hills,10580.0
2020-01-03,Orange,Green Street,2447.0
2020-01-03,Orange,Haymarket,5088.27
2020-01-03,Orange,Jackson Square,4419.0
2020-01-03,Orange,Malden Center,9496.0
2020-01-03,Orange,Massachusetts Avenue,4577.0
2020-01-03,Orange,North Station,10748.76
2020-01-03,Orange,Oak Grove,5680.0
2020-01-03,Orange,Roxbury Crossing,3004.0
2020-01-03,Orange,Ruggles,6097.0
2020-01-03,Orange,State Street,10878.3
2020-01-03,Orange,Stony Brook,2878.0
2020-01-03,Orange,Sullivan Square,7391.0
2020-01-03,Orange,Tufts Medical Center,4992.0
2020-01-03,Orange,Wellington,6477.0
2020-01-03,Red,Alewife,9630.0
2020-01-03,Red,Andrew,4798.0
2020-01-03,Red,Ashmont,7074.0
2020-01-03,Red,Braintree,4084.0
2020-01-03,Red,Broadway,5168.0
2020-01-03,Red,Central,13002.0
2020-01-03,Red,Charles/MGH,8888.0
2020-01-03,Red,Davis,9234.0
2020-01-03,Red,Downtown Crossing,11070.57
2020-01-03,Red,Fields Corner,3858.0
2020-01-03,Red,Harvard,13818.0
2020-01-03,Red,JFK/UMass,4442.0
2020-01-03,Red,Kendall/MIT,12242.0
2020-01-03,Red,North Quincy,5081.0
2020-01-03,Red,Park Street,5678.82
2020-01-03,Red,Porter,6928.0
2020-01-03,Red,Quincy Adams,3218.0
2020-01-03,Red,Quincy Center,6602.0
2020-01-03,Red,Savin Hill,1874.0
2020-01-03,Red,Shawmut,1651.0
2020-01-03,Red,South Station,14203.0
2020-01-03,Red,Wollaston,3093.0
2020-01-04,Blue,Airport,4676.0
2020-01-04,Blue,Aquarium,2650.0
2020-01-04,Blue,Beachmont,1550.0
2020-01-04,Blue,Bowdoin,636.0
2020-01-04,Blue,Government Center,231.8
2020-01-04,Blue,Maverick,6436.0
2020-01-04,Blue,Orient Heights,2251.0
2020-01-04,Blue,Revere Beach,1503.0
